airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,	arr_time,level,distance,	flight_time,	flight_type,	load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields
AVA,04001,,,,LGSM,ENGM,,2,10:05,14:05,,1478,240,J,,,,,,,,1,B738,Y?price=441.11%;J?price=441.11%;F?price=441.11%,,
AVA,04002,,,,ENGM,LGSR,,7,03:55,08:00,,1531,245,J,,,,,,,,1,B738,Y?price=453.29%;J?price=453.29%;F?price=453.29%,,
AVA,04003,,,,LGSR,ENGM,,7,09:00,12:55,,1531,235,J,,,,,,,,1,B738,Y?price=453.29%;J?price=453.29%;F?price=453.29%,,
AVA,04004,,,,ENGM,LGSR,,6,05:30,09:25,,1531,235,J,,,,,,,,1,A21N,Y?price=453.29%;J?price=453.29%;F?price=453.29%,,
AVA,04005,,,,LGSR,ENGM,,6,10:25,14:40,,1531,255,J,,,,,,,,1,A21N,Y?price=453.29%;J?price=453.29%;F?price=453.29%,,
AVA,04006,,,,ENGM,LGSR,,357,20:10,00:10,,1531,240,J,,,,,,,,1,B738,Y?price=453.29%;J?price=453.29%;F?price=453.29%,,
AVA,04007,,,,LGSR,ENGM,,146,01:00,04:55,,1531,235,J,,,,,,,,1,B738,Y?price=453.29%;J?price=453.29%;F?price=453.29%,,
AVA,04008,,,,ENGM,LGST,,4,07:25,11:25,,1608,240,J,,,,,,,,1,B737,Y?price=470.98%;J?price=470.98%;F?price=470.98%,,
AVA,04009,,,,LGST,ENGM,,4,12:25,16:40,,1608,255,J,,,,,,,,1,B737,Y?price=470.98%;J?price=470.98%;F?price=470.98%,,
AVA,04010,,,,ENGM,LGTS,,13,15:25,18:40,,1260,195,J,,,,,,,,1,B738,Y?price=390.85%;J?price=390.84%;F?price=390.84%,,
AVA,04011,,,,LGTS,ENGM,,13,19:30,22:50,,1260,200,J,,,,,,,,1,B738,Y?price=390.85%;J?price=390.84%;F?price=390.84%,,
AVA,04012,,,,ENGM,LGZA,,2,04:40,08:30,,1397,230,J,,,,,,,,1,A21N,Y?price=422.42%;J?price=422.41%;F?price=422.41%,,
AVA,04013,,,,LGZA,ENGM,,2,09:30,13:15,,1397,225,J,,,,,,,,1,A21N,Y?price=422.42%;J?price=422.41%;F?price=422.41%,,
AVA,04014,,,,ENGM,LGZA,,3,04:40,08:30,,1397,230,J,,,,,,,,1,B738,Y?price=422.42%;J?price=422.41%;F?price=422.41%,,
AVA,04015,,,,LGZA,ENGM,,3,09:40,13:35,,1397,235,J,,,,,,,,1,B738,Y?price=422.42%;J?price=422.41%;F?price=422.41%,,
AVA,04016,,,,ENGM,LHBP,,0123456,06:35,08:55,,817,140,J,,,,,,,,1,B738,Y?price=288.46%;J?price=288.46%;F?price=288.46%,,
AVA,04017,,,,LHBP,ENGM,,0123456,09:25,11:55,,817,150,J,,,,,,,,1,B738,Y?price=288.46%;J?price=288.46%;F?price=288.46%,,
AVA,04018,,,,ENGM,LHBP,,247,16:35,18:55,,817,140,J,,,,,,,,1,B738,Y?price=288.46%;J?price=288.46%;F?price=288.46%,,
AVA,04019,,,,LHBP,ENGM,,247,19:25,21:55,,817,150,J,,,,,,,,1,B738,Y?price=288.46%;J?price=288.46%;F?price=288.46%,,
AVA,04020,,,,ENGM,LICC,,247,07:25,11:00,,1372,215,J,,,,,,,,1,B738,Y?price=416.6%;J?price=416.61%;F?price=416.61%,,
AVA,04021,,,,LICC,ENGM,,247,12:00,15:40,,1372,220,J,,,,,,,,1,B738,Y?price=416.6%;J?price=416.61%;F?price=416.61%,,
AVA,04022,,,,ENGM,LICC,,2,16:15,20:00,,1372,225,J,,,,,,,,1,B737,Y?price=416.6%;J?price=416.61%;F?price=416.61%,,
AVA,04023,,,,LICC,ENGM,,2,21:00,00:45,,1372,225,J,,,,,,,,1,B737,Y?price=416.6%;J?price=416.61%;F?price=416.61%,,
AVA,04024,,,,ENGM,LICJ,,47,04:00,07:30,,1323,210,J,,,,,,,,1,B738,Y?price=405.35%;J?price=405.35%;F?price=405.35%,,
AVA,04025,,,,LICJ,ENGM,,47,08:20,11:55,,1323,215,J,,,,,,,,1,B738,Y?price=405.35%;J?price=405.35%;F?price=405.35%,,
AVA,04026,,,,ENGM,LIEA,,3,15:00,18:15,,1178,195,J,,,,,,,,1,B738,Y?price=371.92%;J?price=371.92%;F?price=371.92%,,
AVA,04027,,,,LIEA,ENGM,,3,19:25,22:50,,1178,205,J,,,,,,,,1,B738,Y?price=371.92%;J?price=371.92%;F?price=371.92%,,
AVA,04028,,,,ENGM,LIEO,,1236,05:20,08:40,,1159,200,J,,,,,,,,1,B738,Y?price=367.49%;J?price=367.5%;F?price=367.5%,,
AVA,04029,,,,LIEO,ENGM,,1236,09:20,12:35,,1159,195,J,,,,,,,,1,B738,Y?price=367.49%;J?price=367.5%;F?price=367.5%,,
